id,list_id,trial_id,subj_1,rel_1,pat_1,subj_2,rel_2,pat_2,subj_3,rel_3,pat_3,subj_4,rel_4,pat_4,subj_5,rel_5,pat_5,subj_6,rel_6,pat_6,subj_7,rel_7,pat_7,text_snippet,model,difficulty,size
0,1,18940,Al_Asad_Airbase,operatingOrganisation,United_States_Air_Force,United_States_Air_Force,battles,Invasion_of_Grenada,United_States_Air_Force,battles,Operation_Enduring_Freedom,,,,,,,,,,,,,"<p class=""lead"" id=""text_article""><span style=""background-color: #FFFF00"">the united states air force</span> is the operating organisation for <span style=""background-color: #FFFF00"">al asad airbase</span> , used in battles such as <span style=""background-color: #FFFF00"">the invasion of grenada</span> and <span style=""background-color: #FFFF00"">operation enduring freedom</span> .</p>
",seq2seq,median,3
1,1,20193,Buzz_Aldrin,birthPlace,"Glen_Ridge,_New_Jersey",Buzz_Aldrin,was a crew member of,Apollo_11,Buzz_Aldrin,nationality,United_States,United_States,leaderName,Joe_Biden,"Glen_Ridge,_New_Jersey",isPartOf,"Essex_County,_New_Jersey",Apollo_11,backup pilot,William_Anders,Apollo_11,operator,NASA,"<p class=""lead"" id=""text_article""><span style=""background-color: #FFFF00"">buzz aldrin</span> was born in <span style=""background-color: #FFFF00"">glen ridge , new jersey</span> , <span style=""background-color: #FFFF00"">essex county , new jersey</span> . <span style=""background-color: #FFFF00"">buzz aldrin</span> is <span style=""background-color: #FFFF00"">united states</span> , who was a crew member of <span style=""background-color: #FFFF00"">nasa</span> operated <span style=""background-color: #FFFF00"">apollo 11</span> program . <span style=""background-color: #FFFF00"">william anders</span> was a backup pilot on <span style=""background-color: #FFFF00"">its</span> mission . <span style=""background-color: #FFFF00"">united states</span> leader was <span style=""background-color: #FFFF00"">joe biden</span> .</p>
",ferreira,median,7
2,1,20130,Buzz_Aldrin,birthPlace,"Glen_Ridge,_New_Jersey",Buzz_Aldrin,alternativeNames,"""Edwin E. Aldrin, Jr.""",Buzz_Aldrin,was a crew member of,Apollo_11,Buzz_Aldrin,occupation,Fighter_pilot,Buzz_Aldrin,almaMater,"""Massachusetts Institute of Technology, Sc.D. 1963""",Buzz_Aldrin,birthDate,"""1930-01-20""",,,,"<p class=""lead"" id=""text_article"">edwin e. aldrin, jr. , more commonly known as <span style=""background-color: #FFFF00"">buzz aldrin</span> was born in <span style=""background-color: #FFFF00"">glen ridge , new jersey</span> in 1930-01-20 and graduated from massachusetts institute of technology, sc.d. 1963 . <span style=""background-color: #FFFF00"">he</span> was <span style=""background-color: #FFFF00"">a fighter pilot</span> and a crew member of <span style=""background-color: #FFFF00"">apollo 11</span> .</p>
",catt,median,6
3,1,18665,Bibbo_Bibbowski,creator,Jerry_Ordway,Jerry_Ordway,nationality,Americans,,,,,,,,,,,,,,,,"<p class=""lead"" id=""text_article"">the creator of <span style=""background-color: #FFFF00"">bibbo bibbo</span> is <span style=""background-color: #FFFF00"">jerry ordway</span> , <span style=""background-color: #FFFF00"">american</span> .</p>
",hieratt,critical,2
4,1,20173,"Aarhus_University,_School_of_Business_and_Social_Sciences",academicStaffSize,737,Denmark,leaderName,Lars_Løkke_Rasmussen,"Aarhus_University,_School_of_Business_and_Social_Sciences",city,Aarhus,"Aarhus_University,_School_of_Business_and_Social_Sciences",country,Denmark,"Aarhus_University,_School_of_Business_and_Social_Sciences",affiliation,European_University_Association,"Aarhus_University,_School_of_Business_and_Social_Sciences",established,1928,,,,"<p class=""lead"" id=""text_article""><span style=""background-color: #FFFF00"">the school of business and social sciences at the aarhus university</span> is located in <span style=""background-color: #FFFF00"">aarhus</span> , <span style=""background-color: #FFFF00"">denmark</span> was established in <span style=""background-color: #FFFF00"">1928</span> . <span style=""background-color: #FFFF00"">its</span> academic staff numbers <span style=""background-color: #FFFF00"">737</span> and <span style=""background-color: #FFFF00"">it</span> is affiliated to <span style=""background-color: #FFFF00"">the european university association</span> . <span style=""background-color: #FFFF00"">the country 's</span> leader is <span style=""background-color: #FFFF00"">lars lokke rasmussen</span> .</p>
",catt,critical,6
5,1,20063,Agremiação_Sportiva_Arapiraquense,league,Campeonato_Brasileiro_Série_C,Campeonato_Brasileiro_Série_C,country,Brazil,Agremiação_Sportiva_Arapiraquense,manager,Vica,Agremiação_Sportiva_Arapiraquense,numberOfMembers,17000,Campeonato_Brasileiro_Série_C,champions,Vila_Nova_Futebol_Clube,,,,,,,"<p class=""lead"" id=""text_article""><span style=""background-color: #FFFF00"">the vila nova futebol clube</span> were champions at <span style=""background-color: #FFFF00"">the campeonato brasileiro série c.</span> in <span style=""background-color: #FFFF00"">brazil</span> . <span style=""background-color: #FFFF00"">agremiação sportiva arapiraquense</span> who also play in <span style=""background-color: #FFFF00"">the league</span> have <span style=""background-color: #FFFF00"">17000</span> members and are managed by vica .</p>
",original,critical,5
6,1,19855,Angola_International_Airport,location,Ícolo_e_Bengo,Ícolo_e_Bengo,country,Angola,Angola_International_Airport,runwayLength,4000,Ícolo_e_Bengo,isPartOf,Luanda_Province,Angola_International_Airport,elevationAboveTheSeaLevel_(in_metres),159,,,,,,,"<p class=""lead"" id=""text_article""><span style=""background-color: #ffff00"">angola international airport</span> is located in <span style=""background-color: #ffff00"">ícolo e bengo</span> , which is located in <span style=""background-color: #ffff00"">luanda province</span> , <span style=""background-color: #ffff00"">angola</span> . <span style=""background-color: #ffff00"">it</span> is situated 159 meters above sea level and <span style=""background-color: #ffff00"">it</span> has a runway that measures a length of 4000.0 .</p>
",hieratt,median,5
7,1,18815,AFC_Ajax,manager,Frank_de_Boer,Frank_de_Boer,club,Ajax_Youth_Academy,,,,,,,,,,,,,,,,"<p class=""lead"" id=""text_article""><span style=""background-color: #FFFF00"">frank de boer</span> is in <span style=""background-color: #FFFF00"">the ajax youth academy</span> and manages <span style=""background-color: #FFFF00"">the afc ajax</span> .</p>
",hieratt,median,2
8,1,19953,Birmingham,postalCode,B_postcode_area,103_Colmore_Row,architect,John_Madin,John_Madin,birthPlace,Birmingham,Birmingham,governingBody,Birmingham_City_Council,Birmingham,leaderName,Andrew_Mitchell,,,,,,,"<p class=""lead"" id=""text_article""><span style=""background-color: #ffff00"">103 colmore row</span> was designed by <span style=""background-color: #ffff00"">the architect john madin</span> , who was born in <span style=""background-color: #ffff00"">birmingham</span> , where the postal code is ` <span style=""background-color: #ffff00"">postal code ` b '</span> ' . <span style=""background-color: #ffff00"">andrew mitchell</span> is the leader of <span style=""background-color: #ffff00"">birmingham</span> and <span style=""background-color: #ffff00"">the birmingham council</span> is the governing body .</p>
",hieratt,critical,5
9,1,20182,Alan_Bean,was a crew member of,Apollo_12,Apollo_12,operator,NASA,Alan_Bean,occupation,Test_pilot,Apollo_12,commander,David_Scott,Alan_Bean,birthPlace,"Wheeler,_Texas",Alan_Bean,status,"""Retired""",Alan_Bean,almaMater,"""UT Austin, B.S. 1955""","<p class=""lead"" id=""text_article""><span style=""background-color: #FFFF00"">alan bean</span> was born in <span style=""background-color: #FFFF00"">wheeler, texas</span> and attended ut austin, b.s. 1955 . prior to <span style=""background-color: #FFFF00"">alan bean</span> retirement <span style=""background-color: #FFFF00"">alan bean</span> served as <span style=""background-color: #FFFF00"">test pilot</span> and was selected by <span style=""background-color: #FFFF00"">nasa</span> to serve as a crew member on <span style=""background-color: #FFFF00"">apollo 12</span> alongside <span style=""background-color: #FFFF00"">david scott</span> .</p>
",only,critical,7
10,1,20094,Administrative_Science_Quarterly,publisher,Cornell_University,Cornell_University,nickname,Cornell_Big_Red,Cornell_University,affiliation,Association_of_American_Universities,Cornell_University,state,New_York,Cornell_University,city,"Ithaca,_New_York",,,,,,,"<p class=""lead"" id=""text_article""><span style=""background-color: #FFFF00"">cornell university</span> is in <span style=""background-color: #FFFF00"">ithaca , new york</span> and <span style=""background-color: #FFFF00"">their</span> nickname is <span style=""background-color: #FFFF00"">cornell big red</span> . <span style=""background-color: #FFFF00"">they</span> are the publisher of <span style=""background-color: #FFFF00"">administrative science quarterly</span> and are affiliated with <span style=""background-color: #FFFF00"">the association of american universities</span> .</p>
",original,median,5
11,1,20126,Alan_Shepard,was awarded,"""American Defense Service ribbon.svg""",Alan_Shepard,deathDate,"""1998-07-21""",Distinguished_Service_Medal_(United_States_Navy),higher,Department_of_Commerce_Gold_Medal,Alan_Shepard,deathPlace,California,Alan_Shepard,birthPlace,New_Hampshire,Alan_Shepard,awards,Distinguished_Service_Medal_(United_States_Navy),,,,"<p class=""lead"" id=""text_article""><span style=""background-color: #FFFF00"">alan shepard</span> ( who died on 1998-07-21 in <span style=""background-color: #FFFF00"">california</span> ) was born in <span style=""background-color: #FFFF00"">new hampshire</span> . <span style=""background-color: #FFFF00"">he</span> was awarded american defense service ribbon.svg , as well as <span style=""background-color: #FFFF00"">the distinguished service medal</span> . <span style=""background-color: #FFFF00"">its</span> is ranked higher than <span style=""background-color: #FFFF00"">the department of commerce gold medal</span> .</p>
",seq2seq,critical,6
12,1,20139,Elliot_See,almaMater,University_of_Texas_at_Austin,University_of_Texas_at_Austin,affiliations,University_of_Texas_System,Elliot_See,birthDate,"""1927-07-23""",Elliot_See,birthPlace,Dallas,Elliot_See,deathPlace,St._Louis,Elliot_See,status,"""Deceased""",,,,"<p class=""lead"" id=""text_article""><span style=""background-color: #FFFF00"">elliot see</span> was born on 1927-07-23 in <span style=""background-color: #FFFF00"">dallas</span> has graduated from <span style=""background-color: #FFFF00"">the university of texas</span> which affiliated to <span style=""background-color: #FFFF00"">the university of texas system</span> has died and deceased in <span style=""background-color: #FFFF00"">st louis</span> .</p>
",seq2seq,median,6
13,1,18939,Al_Asad_Airbase,operatingOrganisation,United_States_Air_Force,United_States_Air_Force,battles,Invasion_of_Grenada,United_States_Air_Force,battles,Operation_Enduring_Freedom,,,,,,,,,,,,,"<p class=""lead"" id=""text_article""><span style=""background-color: #FFFF00"">the united states air force</span> operates <span style=""background-color: #FFFF00"">the al asad airbase</span> . <span style=""background-color: #FFFF00"">they</span> fought in <span style=""background-color: #FFFF00"">the invasion of grenada</span> and <span style=""background-color: #FFFF00"">operation enduring freedom</span> .</p>
",seq2seq,critical,3
14,1,19073,BBC,keyPerson,"Tony_Hall,_Baron_Hall_of_Birkenhead",Bananaman,network,BBC,BBC,locationCity,London,,,,,,,,,,,,,"<p class=""lead"" id=""text_article"">a key person at <span style=""background-color: #FFFF00"">the bbc</span> , which is located in <span style=""background-color: #FFFF00"">london</span> and broadcast <span style=""background-color: #FFFF00"">bananaman</span> , is <span style=""background-color: #FFFF00"">tony hall</span> .</p>
",catt,critical,3
15,1,19554,Duncan_Rouleau,nationality,Americans,Baymax,creator,Duncan_Rouleau,Baymax,series,Big_Hero_6_(film),Big_Hero_6_(film),starring,Maya_Rudolph,,,,,,,,,,"<p class=""lead"" id=""text_article""><span style=""background-color: #FFFF00"">maya rudolph</span> stars in <span style=""background-color: #FFFF00"">big hero 6</span> in which <span style=""background-color: #FFFF00"">baymax</span> also appears . <span style=""background-color: #FFFF00"">baymax</span> was created by <span style=""background-color: #FFFF00"">americans</span> , <span style=""background-color: #FFFF00"">duncan rouleau</span> .</p>
",ferreira,critical,4
16,1,20207,William_Anders,dateOfRetirement,"""1969-09-01""",William_Anders,nationality,United_States,William_Anders,status,"""Retired""",William_Anders,birthDate,"""1933-10-17""",William_Anders,occupation,Fighter_pilot,William_Anders,birthPlace,British_Hong_Kong,William_Anders,almaMater,"""AFIT, M.S. 1962""","<p class=""lead"" id=""text_article""><span style=""background-color: #FFFF00"">william anders</span> in <span style=""background-color: #FFFF00"">united states</span> who was born in <span style=""background-color: #FFFF00"">british hong kong</span> on 1933-10-17 . after graduating from afit, m.s. 1962 , <span style=""background-color: #FFFF00"">william anders</span> worked as <span style=""background-color: #FFFF00"">fighter pilot</span> until <span style=""background-color: #FFFF00"">william anders</span> retired on 1969-09-01 .</p>
",only,median,7
17,1,18821,AFC_Ajax_(amateurs),ground,Amsterdam,Amsterdam,leaderName,Eberhard_van_der_Laan,,,,,,,,,,,,,,,,"<p class=""lead"" id=""text_article""><span style=""background-color: #FFFF00"">afc ajax</span> is based in <span style=""background-color: #FFFF00"">amsterdam</span> where <span style=""background-color: #FFFF00"">eberhard van der laan</span> is a leader .</p>
",original,median,2
18,1,20185,Alan_Shepard,almaMater,"""NWC, M.A. 1957""",Alan_Shepard,was a crew member of,Apollo_14,Alan_Shepard,deathPlace,California,Alan_Shepard,birthPlace,New_Hampshire,Alan_Shepard,was selected by NASA,1959,Alan_Shepard,nationality,United_States,Alan_Shepard,birthDate,"""1923-11-18""","<p class=""lead"" id=""text_article""><span style=""background-color: #FFFF00"">alan shepard</span> is <span style=""background-color: #FFFF00"">united states</span> who was born in <span style=""background-color: #FFFF00"">new hampshire</span> on 1923-11-18 . <span style=""background-color: #FFFF00"">he</span> graduated from nwc, m.a. 1957 . <span style=""background-color: #FFFF00"">shepard</span> was chosen by nasa in <span style=""background-color: #FFFF00"">1959</span> and <span style=""background-color: #FFFF00"">he</span> crewed <span style=""background-color: #FFFF00"">apollo 14</span> .</p>
",ferreira,critical,7
19,1,19768,A_Severed_Wasp,OCLC_number,8805735,A_Severed_Wasp,LibraryofCongressClassification,"""PS3523.E55 S4 1982""",A_Severed_Wasp,mediaType,"""Print""",A_Severed_Wasp,ISBN_number,"""0-374-26131-8""",,,,,,,,,,"<p class=""lead"" id=""text_article""><span style=""background-color: #FFFF00"">' a severed wasp '</span> ( isbn number <span style=""background-color: #FFFF00"">0-374-26131-8</span> ) is available in print and has the oclc number <span style=""background-color: #FFFF00"">8805735</span> . <span style=""background-color: #FFFF00"">' a severed wasp '</span> has the library of congress classification ps3523.e55 s4 1982 .</p>
",ferreira,median,4
20,1,19606,Bakewell_pudding,region,Derbyshire_Dales,Bakewell_pudding,dishVariation,Bakewell_tart,Derbyshire_Dales,isPartOf,Derbyshire,Bakewell_tart,ingredient,Shortcrust_pastry,,,,,,,,,,"<p class=""lead"" id=""text_article"">from the <span style=""background-color: #FFFF00"">derbyshire dales</span> region ( in <span style=""background-color: #FFFF00"">derbyshire</span> ) , is <span style=""background-color: #FFFF00"">bakewell pudding</span> . a variation of which , is <span style=""background-color: #FFFF00"">bakewell tart</span> , <span style=""background-color: #FFFF00"">bakewell pudding</span> main ingredient is <span style=""background-color: #FFFF00"">shortcrust pastry</span> .</p>
",only,median,4
21,1,18844,Acharya_Institute_of_Technology,officialSchoolColour,"""Blue, White and Orange""",Acharya_Institute_of_Technology,was given the 'Technical Campus' status by,All_India_Council_for_Technical_Education,,,,,,,,,,,,,,,,"<p class=""lead"" id=""text_article"">the official school colours for <span style=""background-color: #FFFF00"">acharya institute of technology</span> are <span style=""background-color: #FFFF00"">blue , white and orange</span> and <span style=""background-color: #FFFF00"">the school</span> got <span style=""background-color: #FFFF00"">its</span> technical campus status from <span style=""background-color: #FFFF00"">the all india council</span> .</p>
",original,critical,2
22,1,19273,Acharya_Institute_of_Technology,president,"""B.M. Reddy""",Acharya_Institute_of_Technology,city,Bangalore,Acharya_Institute_of_Technology,country,"""India""",,,,,,,,,,,,,"<p class=""lead"" id=""text_article""><span style=""background-color: #FFFF00"">the acharya institute of technology</span> ( <span style=""background-color: #FFFF00"">bangalore</span> , india ) has b.m. reddy as <span style=""background-color: #FFFF00"">its</span> president .</p>
",catt,median,3
23,1,19579,Asam_pedas,country,Malaysia,Malaysia,ethnicGroup,Malaysian_Malay,Sumatra,ethnicGroup,Minangkabau_people,Asam_pedas,region,Sumatra,,,,,,,,,,"<p class=""lead"" id=""text_article""><span style=""background-color: #FFFF00"">asam pedas</span> is a food found in <span style=""background-color: #FFFF00"">malaysia</span> and <span style=""background-color: #FFFF00"">sumatra</span> . <span style=""background-color: #FFFF00"">malaysian malay</span> is the ethnic group of <span style=""background-color: #FFFF00"">malaysia</span> and <span style=""background-color: #FFFF00"">minangkabau people</span> are an ethnic group of <span style=""background-color: #FFFF00"">sumatra</span> .</p>
",only,critical,4
24,2,18940,Al_Asad_Airbase,operatingOrganisation,United_States_Air_Force,United_States_Air_Force,battles,Invasion_of_Grenada,United_States_Air_Force,battles,Operation_Enduring_Freedom,,,,,,,,,,,,,"<p class=""lead"" id=""text_article""><span style=""background-color: #FFFF00"">the united states air force</span> is the operating organisation for <span style=""background-color: #FFFF00"">al asad airbase</span> , used in battles such as <span style=""background-color: #FFFF00"">the invasion of grenada</span> and <span style=""background-color: #FFFF00"">operation enduring freedom</span> .</p>
",catt,median,3
25,2,20193,Buzz_Aldrin,birthPlace,"Glen_Ridge,_New_Jersey",Buzz_Aldrin,was a crew member of,Apollo_11,Buzz_Aldrin,nationality,United_States,United_States,leaderName,Joe_Biden,"Glen_Ridge,_New_Jersey",isPartOf,"Essex_County,_New_Jersey",Apollo_11,backup pilot,William_Anders,Apollo_11,operator,NASA,"<p class=""lead"" id=""text_article""><span style=""background-color: #FFFF00"">buzz aldrin</span> was born in <span style=""background-color: #FFFF00"">glen ridge , new jersey</span> , <span style=""background-color: #FFFF00"">essex county , new jersey</span> . <span style=""background-color: #FFFF00"">he</span> is <span style=""background-color: #FFFF00"">a united states</span> , who was a crew member of <span style=""background-color: #FFFF00"">the nasa</span> operated <span style=""background-color: #FFFF00"">apollo 11</span> program . <span style=""background-color: #FFFF00"">he</span> was a backup pilot on <span style=""background-color: #FFFF00"">apollo 11</span> mission . <span style=""background-color: #FFFF00"">the country 's</span> leader was <span style=""background-color: #FFFF00"">joe biden</span> .</p>
",seq2seq,median,7
26,2,20130,Buzz_Aldrin,birthPlace,"Glen_Ridge,_New_Jersey",Buzz_Aldrin,alternativeNames,"""Edwin E. Aldrin, Jr.""",Buzz_Aldrin,was a crew member of,Apollo_11,Buzz_Aldrin,occupation,Fighter_pilot,Buzz_Aldrin,almaMater,"""Massachusetts Institute of Technology, Sc.D. 1963""",Buzz_Aldrin,birthDate,"""1930-01-20""",,,,"<p class=""lead"" id=""text_article"">edwin e. aldrin, jr. , more commonly known as <span style=""background-color: #FFFF00"">buzz aldrin</span> was born in <span style=""background-color: #FFFF00"">glen ridge , new jersey</span> in 1930-01-20 and graduated from massachusetts institute of technology, sc.d. 1963 . <span style=""background-color: #FFFF00"">buzz aldrin</span> was <span style=""background-color: #FFFF00"">a fighter pilot</span> and a crew member of <span style=""background-color: #FFFF00"">apollo 11</span> .</p>
",hieratt,median,6
27,2,18665,Bibbo_Bibbowski,creator,Jerry_Ordway,Jerry_Ordway,nationality,Americans,,,,,,,,,,,,,,,,"<p class=""lead"" id=""text_article"">the creator of <span style=""background-color: #FFFF00"">bibbo bibbowski</span> is <span style=""background-color: #FFFF00"">jerry ordway</span> , <span style=""background-color: #FFFF00"">an american</span> .</p>
",original,critical,2
28,2,20173,"Aarhus_University,_School_of_Business_and_Social_Sciences",academicStaffSize,737,Denmark,leaderName,Lars_Løkke_Rasmussen,"Aarhus_University,_School_of_Business_and_Social_Sciences",city,Aarhus,"Aarhus_University,_School_of_Business_and_Social_Sciences",country,Denmark,"Aarhus_University,_School_of_Business_and_Social_Sciences",affiliation,European_University_Association,"Aarhus_University,_School_of_Business_and_Social_Sciences",established,1928,,,,"<p class=""lead"" id=""text_article""><span style=""background-color: #FFFF00"">the school of business and social sciences at the aarhus university</span> is located in <span style=""background-color: #FFFF00"">aarhus</span> , <span style=""background-color: #FFFF00"">denmark</span> was established in <span style=""background-color: #FFFF00"">1928</span> . <span style=""background-color: #FFFF00"">it</span> academic staff numbers <span style=""background-color: #FFFF00"">737</span> and <span style=""background-color: #FFFF00"">it</span> is affiliated to <span style=""background-color: #FFFF00"">the european university association</span> . <span style=""background-color: #FFFF00"">denmark 's</span> leader is <span style=""background-color: #FFFF00"">lars lokke rasmussen</span> .</p>
",hieratt,critical,6
29,2,20063,Agremiação_Sportiva_Arapiraquense,league,Campeonato_Brasileiro_Série_C,Campeonato_Brasileiro_Série_C,country,Brazil,Agremiação_Sportiva_Arapiraquense,manager,Vica,Agremiação_Sportiva_Arapiraquense,numberOfMembers,17000,Campeonato_Brasileiro_Série_C,champions,Vila_Nova_Futebol_Clube,,,,,,,"<p class=""lead"" id=""text_article""><span style=""background-color: #FFFF00"">vila nova futebol clube</span> were champions at <span style=""background-color: #FFFF00"">campeonato brasileiro série c</span> in <span style=""background-color: #FFFF00"">brazil</span> . <span style=""background-color: #FFFF00"">agremiação sportiva arapiraquense</span> who also play in <span style=""background-color: #FFFF00"">campeonato brasileiro série c</span> have <span style=""background-color: #FFFF00"">17000</span> members and are managed by vica .</p>
",only,critical,5
30,2,19855,Angola_International_Airport,location,Ícolo_e_Bengo,Ícolo_e_Bengo,country,Angola,Angola_International_Airport,runwayLength,4000,Ícolo_e_Bengo,isPartOf,Luanda_Province,Angola_International_Airport,elevationAboveTheSeaLevel_(in_metres),159,,,,,,,"<p class=""lead"" id=""text_article""><span style=""background-color: #ffff00"">angola international airport</span> is located in <span style=""background-color: #ffff00"">icolo e bengo</span> , which is located in <span style=""background-color: #ffff00"">the luanda province</span> , <span style=""background-color: #ffff00"">angola</span> . <span style=""background-color: #ffff00"">the airport</span> is situated 159 meters above sea level and <span style=""background-color: #ffff00"">it</span> has a runway that measures a length of 4000.0 .</p>
",original,median,5
31,2,18815,AFC_Ajax,manager,Frank_de_Boer,Frank_de_Boer,club,Ajax_Youth_Academy,,,,,,,,,,,,,,,,"<p class=""lead"" id=""text_article""><span style=""background-color: #FFFF00"">frank de boer</span> is in <span style=""background-color: #FFFF00"">the ajax youth academy</span> and manages <span style=""background-color: #FFFF00"">afc ajax</span> .</p>
",original,median,2
32,2,19953,Birmingham,postalCode,B_postcode_area,103_Colmore_Row,architect,John_Madin,John_Madin,birthPlace,Birmingham,Birmingham,governingBody,Birmingham_City_Council,Birmingham,leaderName,Andrew_Mitchell,,,,,,,"<p class=""lead"" id=""text_article""><span style=""background-color: #ffff00"">103 colmore row</span> was designed by <span style=""background-color: #ffff00"">the architect john madin</span> , who was born in <span style=""background-color: #ffff00"">birmingham</span> , where the postal code is ` <span style=""background-color: #ffff00"">b</span> ' . <span style=""background-color: #ffff00"">andrew mitchell</span> is the leader of <span style=""background-color: #ffff00"">the city</span> and <span style=""background-color: #ffff00"">birmingham city council</span> is the governing body .</p>
",original,critical,5
33,2,20182,Alan_Bean,was a crew member of,Apollo_12,Apollo_12,operator,NASA,Alan_Bean,occupation,Test_pilot,Apollo_12,commander,David_Scott,Alan_Bean,birthPlace,"Wheeler,_Texas",Alan_Bean,status,"""Retired""",Alan_Bean,almaMater,"""UT Austin, B.S. 1955""","<p class=""lead"" id=""text_article""><span style=""background-color: #FFFF00"">alan bean</span> was born in <span style=""background-color: #FFFF00"">wheeler , texas</span> and attended ut austin, b.s. 1955 . prior to <span style=""background-color: #FFFF00"">alan bean</span> retirement <span style=""background-color: #FFFF00"">he</span> served as <span style=""background-color: #FFFF00"">test pilot</span> and was selected by <span style=""background-color: #FFFF00"">nasa</span> to serve as a crew member on <span style=""background-color: #FFFF00"">apollo 12</span> alongside <span style=""background-color: #FFFF00"">david scott</span> .</p>
",ferreira,critical,7
34,2,20094,Administrative_Science_Quarterly,publisher,Cornell_University,Cornell_University,nickname,Cornell_Big_Red,Cornell_University,affiliation,Association_of_American_Universities,Cornell_University,state,New_York,Cornell_University,city,"Ithaca,_New_York",,,,,,,"<p class=""lead"" id=""text_article""><span style=""background-color: #FFFF00"">cornell university</span> is in <span style=""background-color: #FFFF00"">ithaca, new york</span> and <span style=""background-color: #FFFF00"">cornell university</span> nickname is <span style=""background-color: #FFFF00"">cornell big red</span> . <span style=""background-color: #FFFF00"">cornell university</span> are the publisher of <span style=""background-color: #FFFF00"">administrative science quarterly</span> and are affiliated with <span style=""background-color: #FFFF00"">association of american universities</span> .</p>
",only,median,5
